ELF Code,Country of formation,Country Code (ISO 3166-1),Jurisdiction of formation,Country sub-division code (ISO 3166-2),jurisdiction_code,Entity Legal Form name Local name,Language,Language Code (ISO 639-1),Entity Legal Form name Transliterated name (per ISO 01-140-10),Abbreviations Local language,Abbreviations transliterated,Date created YYYY-MM-DD (ISO 8601),ELF Status ACTV/INAC,Modification,Modification date YYYY-MM-DD (ISO 8601),Reason,Notes
8888,,,,,,,,,,,,11/30/17,ACTV,,,to be used when a new ELF Code (for a legal form not yet on the list) is requested from GLEIF for a jurisdiction which is on the list,
9999,,,,,,,,,,,,11/30/17,ACTV,,,to be used for LEIs from a jurisdiction which is not on the list yet,
CDOV,Antigua and Barbuda,AG,,,ag,International Business Corporation,English,en,International Business Corporation,,,11/30/17,ACTV,,,,
,,AL,,,al,Shoqëri Aksionere,Albanian,sq,Shoqëri Aksionere,Sh.A.;sh.a.;sha,,,,,,,
,,AL,,,al,Shoqëri me përgjegjësi të kufizuar,Albanian,sq,Shoqëri me përgjegjësi të kufizuar,Sh.p.k.;sh.p.k.;shpk,,,,,,,
,,AL,,,al,Shoqëri komandite,Albanian,sq,Shoqëri komandite,,,,,,,,
,,AL,,,al,Shoqëri kolektive,Albanian,sq,Shoqëri kolektive,,,,,,,,
,,AR,,,ar,Sociedades de Acciones Simplificadas,Spanish,es,Sociedades de Acciones Simplificadas,S.A.S,,,,,,,corporation
,,AR,,,ar,Sociedad Anónima,Spanish,es,Sociedad Anónima,S.A.,,,,,,,≈ plc (UK)
,,AR,,,ar,Sociedad de Responsabilidad Limitada,Spanish,es,Sociedad de Responsabilidad Limitada,S.R.L.,,,,,,,≈ Ltd. (UK): ≈ limited liability company (USA)
,,AR,,,ar,Sociedad en Comandita Simple,Spanish,es,Sociedad en Comandita Simple,S.C.S.,,,,,,,≈ limited partnership
,,AR,,,ar,Sociedad en Comandita por Acciones,Spanish,es,Sociedad en Comandita por Acciones,S.C.p.A.,,,,,,,limited partnership with shares
,,AR,,,ar,Sociedad Colectiva,Spanish,es,Sociedad Colectiva,Soc.Col.,,,,,,,≈ general partnership (USA)
,,AR,,,ar,Sociedad de Capital e Industria,Spanish,es,Sociedad de Capital e Industria,S.C.e I.,,,,,,,
,,AR,,,ar,Sociedad del Estado,Spanish,es,Sociedad del Estado,S.E.,,,,,,,≈ state-owned enterprise
,,AR,,,ar,Sociedad de Garantía Reciproca,Spanish,es,Sociedad de Garantía Reciproca,S.G.R.,,,,,,,
CRL9,Aruba,AW,,,aw,Stichting,Dutch,nl,Stichting,,,11/30/17,ACTV,,,,
CYW2,Aruba,AW,,,aw,Vennootschap onder firma,Dutch,nl,Vennootschap onder firma,VOF;vof;V.O.F.;v.o.f.,,11/30/17,ACTV,,,,
GAJN,Aruba,AW,,,aw,Commanditaire vennootschap (1),Dutch,nl,Commanditaire vennootschap (1),,,11/30/17,ACTV,,,,
M27U,Aruba,AW,,,aw,Besloten vennootschap,Dutch,nl,Besloten vennootschap,BV;bv;B.V.;b.v.,,11/30/17,ACTV,,,,
OLAI,Aruba,AW,,,aw,Vereniging,Dutch,nl,Vereniging,,,11/30/17,ACTV,,,,
P65N,Aruba,AW,,,aw,Naamloze vennootschap,Dutch,nl,Naamloze vennootschap,NV;nv;N.V.;n.v.,,11/30/17,ACTV,,,,
PCRJ,Aruba,AW,,,aw,Cooperatieve vereniging,Dutch,nl,Cooperatieve vereniging,,,11/30/17,ACTV,,,,
PT6C,Aruba,AW,,,aw,Eenmanszaak,Dutch,nl,Eenmanszaak,,,11/30/17,ACTV,,,,
REUP,Aruba,AW,,,aw,Aruba vrijgestelde vennootschap,Dutch,nl,Aruba vrijgestelde vennootschap,AVV;avv;A.V.V.;a.v.v.,,11/30/17,ACTV,,,,
T5RL,Aruba,AW,,,aw,Vennootschap buitenlands recht,Dutch,nl,Vennootschap buitenlands recht,,,11/30/17,ACTV,,,,
UV8T,Aruba,AW,,,aw,Maatschap,Dutch,nl,Maatschap,,,11/30/17,ACTV,,,,
V905,Aruba,AW,,,aw,Vennootschap met beperkte aansprakelijkheid,Dutch,nl,Vennootschap met beperkte aansprakelijkheid,VBA;vba;V.B.A.;v.b.a.,,11/30/17,ACTV,,,,
YCV2,Aruba,AW,,,aw,Commanditaire vennootschap (1+),Dutch,nl,Commanditaire vennootschap (1+),,,11/30/17,ACTV,,,,
6W6X,Australia,AU,,,au,Co-operative,English,en,Co-operative,Co-operative Limited;Cooperative Limited;Co-op Limited;Coop Limited;Co-operative Ltd.;Cooperative Ltd.;Co-opLtd.;Coop Ltd.;Co-operative;Cooperative;Co-op;Coop,,11/30/17,ACTV,,,,
BC38,Australia,AU,,,au,Incorporated association,English,en,Incorporated association,Inc;inc;Inc.;inc.;Incorporated,,11/30/17,ACTV,,,,
J4JC,Australia,AU,,,au,Limited Partnership,English,en,Limited Partnership,Incorporated Limited Partnership;LP;LP.;Lp.;Lp;I.L.P;ILP,,11/30/17,ACTV,,,,
LZFR,Australia,AU,,,au,Public Company limited by guarantee,English,en,Public Company limited by guarantee,Ltd;Ltd.;Limited,,11/30/17,ACTV,,,,
PQHL,Australia,AU,,,au,No Liability Company,English,en,No Liability Company,No Liability;NL;nl,,11/30/17,ACTV,,,,
Q82Q,Australia,AU,,,au,Unlimited Proprietary Company,English,en,Unlimited Proprietary Company,Proprietary;PTY;PTY.;Pty.;Pty Ltd;Pty. Ltd.;PTY LIMITED;Pty Limited;Unlimited Proprietary,,11/30/17,ACTV,,,,
R4KK,Australia,AU,,,au,Public Company limited by shares,English,en,Public Company limited by shares,Ltd;Ltd.;Limited,,11/30/17,ACTV,,,,
TXVC,Australia,AU,,,au,Limited Proprietary Company,English,en,Limited Proprietary Company,Proprietary Limited;Proprietary Ltd;Pty Limited;PTY LTD;PTY. LTD.;Pty. Ltd.;Pty Ltd;Pty Ltd.;Proprietary Limited Company,,11/30/17,ACTV,,,,
XHCV,Australia,AU,,,au,Indigenous Corporation,English,en,Indigenous Corporation,Indigenous corporation;RNTBC,,11/30/17,ACTV,,,,
,,AU,,,au,Limited liability partnership,English,en,Limited liability partnership,LLP;L.L.P.,,,,,,,
1NOX,Austria,AT,,,at,Sonstiger Rechtsträger,German,de,Sonstiger Rechtsträger,,,11/30/17,ACTV,,,,
5WWO,Austria,AT,,,at,Privatstiftung,German,de,Privatstiftung,,,11/30/17,ACTV,,,,≈ private foundation
69H1,Austria,AT,,,at,Europäische Genossenschaft (SCE),German,de,Europäische Genossenschaft (SCE),SCE,,11/30/17,ACTV,,,,
8XDW,Austria,AT,,,at,Genossenschaft,German,de,Genossenschaft,,,7/5/19,ACTV,,,,≈ cooperative
AAL7,Austria,AT,,,at,Kommandit-Erwerbsgesellschaft,German,de,Kommandit-Erwerbsgesellschaft,KEG;Kommanditerwerbsgesellschaft,,11/30/17,ACTV,,,,small limited partnership
AXSB,Austria,AT,,,at,Gesellschaft mit beschränkter Haftung,German,de,Gesellschaft mit beschränkter Haftung,GmbH;Ges.m.b.H.;GesmbH;Ges.mbH;Gesellschaft mbH;Gesellschaft mbH.;Gesellschaft m.b.H.;,,11/30/17,ACTV,,,,"≈ Ltd. (UK). Minimum capital €35,000."
CAQ1,Austria,AT,,,at,Versicherungsverein auf Gegenseitigkeit,German,de,Versicherungsverein auf Gegenseitigkeit,,,11/30/17,ACTV,,,,
DM88,Austria,AT,,,at,Europäische wirtschaftliche Interessenvereinigung,German,de,Europäische wirtschaftliche Interessenvereinigung,,,11/30/17,ACTV,,,,
DX6Z,Austria,AT,,,at,Verein,German,de,Verein,,,7/5/19,ACTV,,,,≈ nonprofit association
ECWU,Austria,AT,,,at,Eingetragenes Einzelunternehmen,German,de,eingetragenes Einzelunternehmen,e.U.;e.u.;EU;E.U.,,11/30/17,ACTV,,,,"≈ sole trader (UK), sole proprietorship (US)"
EQOV,Austria,AT,,,at,Aktiengesellschaft,German,de,Aktiengesellschaft,AG,,11/30/17,ACTV,,,,"≈ plc (UK). Minimum capital €70,000."
G3R6,Austria,AT,,,at,Einzelkaufmann,German,de,Einzelkaufmann,,,11/30/17,ACTV,,,,
GVPD,Austria,AT,,,at,Offene Handelsgesellschaft,German,de,Offene Handelsgesellschaft,OHG,,11/30/17,ACTV,,,,
JJYT,Austria,AT,,,at,Körperschaft öffentlichen Rechts,German,de,Körperschaft öffentlichen Rechts,,,7/5/19,ACTV,,,,
JQOI,Austria,AT,,,at,Sparkasse,German,de,Sparkasse,,,11/30/17,ACTV,,,,
